"","timeStart","memory","memoryCorrect","category","categoryCorrect","rt","stim.old","x","y","z","w","trial.num","stim","subject","condition","round"
"1010",1415024919724,"new",TRUE,"A",NA,3429,FALSE,0,0,1,1,2,"0011",64,"ms","05"
"1011",1415024923905,"new",FALSE,"A",TRUE,3181,TRUE,1,1,1,0,3,"1110",64,"ms","05"
"1012",1415024927838,"new",TRUE,"A",NA,3799,FALSE,0,0,1,0,4,"0010",64,"ms","05"
"1013",1415024932390,"new",TRUE,"A",NA,2232,FALSE,1,0,0,1,5,"1001",64,"ms","05"
"1014",1415024935374,"new",FALSE,"A",TRUE,1846,TRUE,1,1,0,1,6,"1101",64,"ms","05"
"1015",1415024937972,"new",FALSE,"A",TRUE,1872,TRUE,0,1,1,1,7,"0111",64,"ms","05"
"1016",1415024940595,"new",TRUE,"A",NA,1898,FALSE,1,0,0,0,8,"1000",64,"ms","05"
"1017",1415024943245,"new",FALSE,"A",TRUE,2406,TRUE,1,0,1,1,9,"1011",64,"ms","05"
"1018",1415024946403,"new",FALSE,"A",FALSE,3944,TRUE,0,0,0,0,10,"0000",64,"ms","05"
"1019",1415024951099,"new",TRUE,"A",NA,2218,FALSE,0,1,0,1,11,"0101",64,"ms","05"
"1020",1415024954069,"new",TRUE,"A",NA,2395,FALSE,1,1,1,1,12,"1111",64,"ms","05"
"1021",1415024957216,"new",FALSE,"A",FALSE,1422,TRUE,1,1,0,0,13,"1100",64,"ms","05"
"1022",1415024959390,"new",FALSE,"A",FALSE,1673,TRUE,0,0,0,1,14,"0001",64,"ms","05"
"1023",1415024961814,"old",TRUE,"A",TRUE,3463,TRUE,1,0,1,0,15,"1010",64,"ms","05"
"1024",1415024966029,"new",FALSE,"A",FALSE,4159,TRUE,0,1,1,0,16,"0110",64,"ms","05"
"1025",1415024225982,"old",FALSE,"B",NA,4956,FALSE,0,1,0,0,1,"0100",65,"ms","05"
"1026",1415024231689,"old",TRUE,"A",FALSE,6850,TRUE,0,1,1,0,2,"0110",65,"ms","05"
"1027",1415024239291,"old",TRUE,"A",TRUE,2880,TRUE,1,0,1,1,3,"1011",65,"ms","05"
"1028",1415024242923,"old",FALSE,"B",NA,4322,FALSE,0,0,1,0,4,"0010",65,"ms","05"
"1029",1415024247997,"old",FALSE,"B",NA,2250,FALSE,1,0,0,1,5,"1001",65,"ms","05"
"1030",1415024250999,"old",TRUE,"B",TRUE,2784,TRUE,0,0,0,0,6,"0000",65,"ms","05"
"1031",1415024254534,"old",FALSE,"A",NA,2463,FALSE,1,0,0,0,7,"1000",65,"ms","05"
"1032",1415024257749,"old",TRUE,"B",TRUE,4397,TRUE,0,0,0,1,8,"0001",65,"ms","05"
"1033",1415024262898,"old",TRUE,"A",TRUE,2470,TRUE,0,1,1,1,9,"0111",65,"ms","05"
"1034",1415024266120,"old",TRUE,"A",TRUE,2923,TRUE,1,1,1,0,10,"1110",65,"ms","05"
"1035",1415024269794,"old",TRUE,"A",TRUE,2767,TRUE,1,1,0,1,11,"1101",65,"ms","05"
"1036",1415024273313,"old",TRUE,"B",FALSE,1892,TRUE,1,0,1,0,12,"1010",65,"ms","05"
"1037",1415024275957,"old",TRUE,"B",TRUE,4190,TRUE,1,1,0,0,13,"1100",65,"ms","05"
"1038",1415024280899,"old",FALSE,"A",NA,1841,FALSE,0,0,1,1,14,"0011",65,"ms","05"
"1039",1415024283492,"old",FALSE,"B",NA,1778,FALSE,0,1,0,1,15,"0101",65,"ms","05"
"1040",1415024286021,"old",FALSE,"A",NA,3577,FALSE,1,1,1,1,16,"1111",65,"ms","05"
"1041",1415024218375,"old",TRUE,"A",TRUE,9526,TRUE,1,0,1,1,1,"1011",66,"ms","05"
